Title,Language,Genres,Rating,Premiered,Status
MasterChef Junior,English,"Children, Food",6.9,2013-09-27,Ended
Chrisley Knows Best,English,"Comedy, Family",5.4,2014-03-11,Ended
Snooki & JWoww,English,,5.3,2012-06-21,Ended
Slednecks,English,,,2014-10-30,Ended
Rugrats,English,"Comedy, Children",7.2,1991-08-11,Ended
A Gifted Man,English,"Drama, Fantasy, Medical",7.7,2011-09-23,Ended
Life's Too Short,English,Comedy,7.3,2011-11-10,Ended
Kourtney & Khloe Take the Hamptons,English,,,2014-11-02,Ended
The Passing Bells,English,"Drama, War, History",7.0,2014-11-03,Ended
The People Remember,English,History,,2014-11-03,Ended
Buffy the Vampire Slayer,English,"Drama, Action, Supernatural",8.4,1997-03-10,Ended
Angel,English,"Drama, Action, Supernatural",8.0,1999-10-05,Ended
Farscape,English,"Action, Adventure, Science-Fiction",8.6,1999-03-19,Ended
The X-Files,English,"Drama, Crime, Science-Fiction",8.6,1993-09-10,Ended
Friends,English,"Comedy, Romance",8.5,1994-09-22,Ended
Dollhouse,English,"Action, Science-Fiction",7.7,2009-02-13,Ended
Caprica,English,"Drama, Science-Fiction",7.5,2010-01-22,Ended
Warehouse 13,English,"Drama, Science-Fiction, Mystery",8.4,2009-07-07,Ended
Smallville,English,"Drama, Adventure, Science-Fiction",8.1,2001-10-16,Ended
Dead Like Me,English,"Drama, Comedy, Supernatural",8.1,2003-06-27,Ended
Xena: Warrior Princess,English,"Action, Adventure, Fantasy",7.7,1995-09-04,Ended
The Adventures of Sinbad,English,"Action, Adventure",6.0,1996-09-28,Ended
Wolverine and the X-Men,English,"Action, Adventure, Science-Fiction",7.7,2008-09-08,Ended
Everwood,English,"Drama, Family, Romance",8.0,2002-09-16,Ended
Once a Thief,English,"Comedy, Action, Thriller",7.5,1997-09-15,Ended
XIII: The Series,English,"Action, Adventure",7.8,2011-04-20,Ended
Metal Hurlant Chronicles,English,"Action, Adventure, Science-Fiction",6.4,2012-10-27,Ended
Defying Gravity,English,"Drama, Science-Fiction, Thriller",7.8,2009-08-02,Ended
Charlie's Angels,English,"Action, Crime",7.7,2011-09-22,Ended
The Universe,English,"Adventure, Family, Science-Fiction",7.8,2007-05-29,Ended
True Justice,English,"Drama, Action, Crime",6.3,2012-03-30,Ended
Wolf Lake,English,"Drama, Crime, Supernatural",7.8,2001-09-19,Ended
Knight Rider,English,"Action, Adventure, Science-Fiction",6.8,2008-02-17,Ended
The Deep,English,Drama,7.5,2010-08-03,Ended
Tales from the Crypt,English,"Comedy, Fantasy, Horror",8.0,1989-06-10,Ended
Pacific Blue,English,"Drama, Action, Crime",6.5,1996-03-02,Ended
Blade: The Series,English,"Action, Supernatural",6.8,2006-06-28,Ended
Moonlight,English,"Drama, Horror, Romance",7.9,2007-09-28,Ended
The Event,English,"Drama, Action, Science-Fiction",7.3,2010-09-20,Ended
FlashForward,English,"Drama, Crime, Science-Fiction",7.8,2009-09-24,Ended
Harper's Island,English,"Horror, Thriller, Mystery",7.7,2009-04-09,Ended
Adventure Inc.,English,"Action, Adventure",7.3,2002-09-30,Ended
Legend of the Seeker,English,"Action, Adventure, Fantasy",7.9,2008-11-01,Ended
TekWar,English,"Action, Science-Fiction",7.4,1994-12-22,Ended
Dark Skies,English,"Drama, Science-Fiction",7.8,1996-09-21,Ended
The Pacific,English,"Drama, Action, War",8.3,2010-03-14,Ended
Band of Brothers,English,"Drama, Action, War",9.0,2001-09-09,Ended
Columbo,English,"Drama, Crime, Mystery",8.0,1968-02-20,Ended
Blood Ties,English,"Fantasy, Horror, Mystery",7.9,2007-03-11,Ended
"Walker, Texas Ranger",English,"Drama, Action, Crime",6.8,1993-04-21,Ended
ReGenesis,English,"Drama, Science-Fiction, Mystery",7.8,2004-10-24,Ended
The Prisoner,English,"Drama, Science-Fiction, Mystery",8.0,1967-10-01,Ended
The Prisoner,English,"Drama, Science-Fiction, Mystery",7.0,2009-11-15,Ended
X-Men,English,"Children, Science-Fiction",8.0,1992-10-31,Ended
Veronica Mars,English,"Drama, Crime, Mystery",8.5,2004-09-22,Ended
Charlie's Angels,English,"Action, Adventure",7.7,1976-09-22,Ended
Babylon 5,English,"Drama, Action, Science-Fiction",8.4,1993-02-22,Ended
Dead Set,English,"Comedy, Fantasy, Horror",7.3,2008-10-27,Ended
Son of the Beach,English,Comedy,,2000-03-14,Ended
Terminator: The Sarah Connor Chronicles,English,"Drama, Action, Science-Fiction",8.2,2008-01-13,Ended
Witchblade,English,"Action, Crime, Supernatural",7.7,2000-08-27,Ended
Birds of Prey,English,"Action, Adventure, Science-Fiction",7.7,2002-10-09,Ended
The Batman,English,"Action, Adventure, Science-Fiction",7.7,2004-09-11,Ended
Masters of Horror,English,Horror,7.5,2005-10-28,Ended
The 4400,English,"Drama, Science-Fiction, Mystery",7.7,2004-07-11,Ended
Painkiller Jane,English,"Action, Adventure, Science-Fiction",7.2,2007-04-13,Ended
Day Break,English,"Drama, Science-Fiction, Thriller",7.8,2006-11-15,Ended
Andromeda,English,"Action, Science-Fiction",7.7,2000-10-02,Ended
Harsh Realm,English,"Drama, Action, Science-Fiction",7.0,1999-10-08,Ended
Naruto: Shippūden,Japanese,"Action, Adventure, Anime, Fantasy",8.5,2007-02-15,Ended
Sonic Boom,English,"Comedy, Action, Children",4.6,2014-11-08,Ended
Star Trek,English,"Action, Adventure, Science-Fiction",8.4,1966-09-08,Ended
Star Trek: The Next Generation,English,"Action, Adventure, Science-Fiction",8.7,1987-09-28,Ended
Star Trek: Voyager,English,"Action, Adventure, Science-Fiction",8.3,1995-01-16,Ended
Star Trek: Deep Space Nine,English,"Action, Adventure, Science-Fiction",8.4,1993-01-03,Ended
V,English,"Drama, Adventure, Science-Fiction",7.4,2009-11-03,Ended
Naruto,Japanese,"Action, Adventure, Anime, Fantasy",8.1,2002-10-03,Ended
100 Things to Do Before High School,English,"Comedy, Children",6.5,2014-11-11,Ended
Strip the Cosmos,English,"Mystery, Nature, History",7.2,2014-11-12,Ended
Dogs of War,English,War,,2014-11-11,Ended
Married... with Children,English,"Comedy, Family, Adult",8.1,1987-04-05,Ended
Mutant X,English,"Action, Adventure, Science-Fiction",6.9,2001-10-06,Ended
Northern Exposure,English,"Drama, Comedy",8.2,1990-07-12,Ended
The Lost World,English,"Action, Adventure, Science-Fiction",7.9,1999-04-03,Ended
The Lost Room,English,"Drama, Science-Fiction, Thriller",8.0,2006-12-11,Ended
Batman Beyond,English,"Action, Adventure, Science-Fiction",8.0,1999-01-10,Ended
Justice League Unlimited,English,"Action, Adventure, Science-Fiction",7.9,2004-07-31,Ended
Charmed,English,"Drama, Romance, Supernatural",8.1,1998-10-07,Ended
Angels in America,English,"Drama, Fantasy",7.9,2003-12-07,Ended
The Grid,English,"Drama, Thriller",7.9,2004-07-19,Ended
Mr. Sunshine,English,"Comedy, Sports",6.9,2011-02-09,Ended
Breaking In,English,"Comedy, Action, Crime",7.4,2011-04-06,Ended
The Chicago Code,English,Drama,7.7,2011-02-07,Ended
Up All Night,English,Comedy,6.5,2011-09-14,Ended
The Nine Lives of Chloe King,English,"Drama, Action, Supernatural",6.8,2011-06-14,Ended
Jessie,English,Comedy,7.3,2011-09-30,Ended
The Borgias,English,"Drama, Romance, History",7.8,2011-04-03,Ended
Terra Nova,English,"Action, Adventure, Science-Fiction",7.5,2011-09-26,Ended
Psych,English,"Drama, Comedy, Crime",8.0,2006-07-07,Ended
Bad Girls Club,English,,,2006-12-05,Ended
Preachers of L.A.,English,,,2013-10-09,Ended
Lie to Me,English,"Drama, Crime, Mystery",8.0,2009-01-21,Ended
The Real Housewives of New Jersey,English,,5.6,2009-05-12,Running
Top Gear,English,,7.3,2002-10-20,Ended
The West Wing,English,Drama,8.6,1999-09-22,Ended
Moonshiners,English,,6.1,2011-12-06,Running
Gilmore Girls,English,"Drama, Comedy, Romance",8.0,2000-10-05,Ended
The Office,English,Comedy,8.5,2005-03-24,Ended
The Sopranos,English,"Drama, Crime",8.8,1999-01-10,Ended
The Flash,English,"Action, Adventure, Science-Fiction",7.7,1990-09-20,Ended
Cupcake Wars,English,Food,,2010-06-13,Ended
Seinfeld,English,Comedy,8.3,1989-07-05,Ended
Breaking Amish,English,,,2012-09-09,Ended
Scrubs,English,"Drama, Comedy, Medical",8.4,2001-10-02,Ended
Instant Mom,English,"Comedy, Family",7.0,2013-09-29,Ended
Pawn Stars,English,,6.8,2009-07-19,Running
Anthony Bourdain: No Reservations,English,"Food, Travel",7.8,2005-07-25,Ended
Whose Line Is It Anyway?,English,"Comedy, Family",7.7,1998-08-05,Ended
30 Rock,English,Comedy,8.0,2006-10-11,Ended
Futurama,English,"Comedy, Adventure, Science-Fiction",8.6,1999-03-28,Running
The IT Crowd,English,Comedy,8.7,2006-02-03,Ended
Frasier,English,Comedy,8.0,1993-09-16,Ended
Prison Break,English,"Drama, Crime, Thriller",8.2,2005-08-29,Ended
Eureka,English,"Drama, Comedy, Science-Fiction",8.5,2006-07-18,Ended
Monk,English,"Drama, Crime, Mystery",8.0,2002-07-12,Ended
Home Improvement,English,"Comedy, Family",7.2,1991-09-17,Ended
Halo: Nightfall,English,"Action, Adventure, Science-Fiction",6.2,2014-11-11,Ended
Babylon,English,"Drama, Comedy, Crime",7.9,2014-02-09,Ended
ER,English,"Drama, Medical",7.9,1994-09-19,Ended
Skins,English,"Drama, Comedy",7.9,2007-01-25,Ended
Will & Grace,English,Comedy,7.3,1998-09-21,Ended
Desperate Housewives,English,"Drama, Mystery",7.5,2004-10-03,Ended
Curb Your Enthusiasm,English,Comedy,7.9,2000-10-15,Ended
The King of Queens,English,"Comedy, Family",7.1,1998-09-21,Ended
Cheers,English,Comedy,8.0,1982-09-30,Ended
Dark Angel,English,"Action, Science-Fiction",8.0,2000-10-03,Ended
Avatar: The Last Airbender,English,"Action, Adventure, Fantasy",9.0,2005-02-21,Ended
Wilfred,English,"Drama, Comedy, Mystery",7.6,2011-06-23,Ended
Alias,English,"Drama, Action, Espionage",8.0,2001-09-30,Ended
Persons Unknown,English,"Drama, Thriller, Mystery",7.2,2010-06-07,Ended
Entourage,English,"Drama, Comedy",7.7,2004-07-18,Ended
One Tree Hill,English,Drama,7.8,2003-09-23,Ended
La Femme Nikita,English,"Drama, Action, Thriller",7.7,1997-01-13,Ended
Law & Order,English,"Drama, Crime, Legal",7.4,1990-09-13,Running
Star Wars: The Clone Wars,English,"Action, Adventure, Science-Fiction",8.4,2008-10-03,Ended
Nip/Tuck,English,"Drama, Medical",7.8,2003-07-22,Ended
Deadwood,English,"Drama, Crime, Western",8.7,2004-03-21,Ended
Ghost Whisperer,English,"Drama, Fantasy",7.7,2005-09-23,Ended
Gossip Girl,English,"Drama, Romance",7.3,2007-09-19,Ended
Malcolm in the Middle,English,Comedy,7.7,2000-01-09,Running
Dharma & Greg,English,"Comedy, Family, Romance",7.4,1997-09-24,Ended
NYPD Blue,English,"Drama, Crime",7.9,1993-09-21,Ended
The Glades,English,"Drama, Action, Crime",7.9,2010-07-11,Ended
American Pickers,English,"Travel, History",7.4,2010-01-18,To Be Determined
Everybody Loves Raymond,English,"Comedy, Family",7.0,1996-09-13,Ended
Happy Endings,English,Comedy,7.3,2011-04-13,Ended
Keeping Up with the Kardashians,English,Drama,3.3,2007-10-14,Ended
CSI: Miami,English,"Drama, Crime",7.6,2002-09-23,Ended
Fawlty Towers,English,Comedy,8.4,1975-09-19,Ended
90210,English,"Drama, Romance",6.4,2008-09-02,Ended
Harry's Law,English,"Drama, Legal",7.4,2011-01-17,Ended
Raising Hope,English,"Comedy, Family",7.9,2010-09-21,Ended
JAG,English,"Drama, Crime, Legal",7.4,1995-09-23,Ended
The Fresh Prince of Bel-Air,English,"Comedy, Family",7.9,1990-09-10,Ended
Sliders,English,"Adventure, Fantasy, Science-Fiction",7.8,1995-03-22,Ended
Las Vegas,English,"Drama, Crime",7.6,2003-09-22,Ended
Ghost Hunters,English,Supernatural,6.2,2004-10-06,To Be Determined
Breakout Kings,English,"Drama, Action, Crime",7.3,2011-03-06,Ended
That '70s Show,English,Comedy,8.0,1998-08-23,Ended
NTSF:SD:SUV,English,"Comedy, Espionage",6.9,2011-07-22,Ended
Bad Teacher,English,Comedy,5.9,2014-04-24,Ended
Pokémon,Japanese,"Adventure, Anime, Fantasy",7.8,1997-04-01,Running
Eat: The Story of Food,English,Food,,2014-11-21,Ended
"Dr. Oakley, Yukon Vet",English,,7.9,2014-04-12,Running
Murdoch Mysteries,English,"Drama, Crime, Mystery",8.1,2008-01-24,Running
Henry Danger,English,"Comedy, Family, Science-Fiction",6.7,2014-07-26,Ended
The Thundermans,English,"Comedy, Family, Science-Fiction",6.4,2013-10-14,Ended
The Real Housewives of Atlanta,English,,4.4,2008-10-07,Running
Boston Legal,English,"Drama, Comedy, Legal",8.0,2004-10-03,Ended
Hair Jacked,English,,,2014-10-27,Ended
Crowd Control,English,,,2014-11-24,Ended
Fake Off,English,,,2014-10-27,Ended
Euros of Hollywood,English,,,2014-11-03,Ended
Godfather of Pittsburgh,English,,,2014-11-10,Ended
Booze Traveler,English,"Food, Travel",,2014-11-24,Ended
Eric Greenspan is Hungry,English,"Food, Travel",,2014-11-24,Ended
Air Warriors,English,"Drama, Action, War",6.8,2014-11-09,Ended
The Astronaut Wives Club,English,"Drama, History",7.2,2015-06-18,Ended
Galavant,English,"Comedy, Fantasy, Music",7.8,2015-01-04,Ended
Wake Up Call,English,Drama,,2014-12-12,Ended
Expedition Unknown,English,"Adventure, Mystery, History",7.6,2015-01-08,Running
Eye Candy,English,"Drama, Crime, Thriller",6.6,2015-01-12,Ended
12 Monkeys,English,"Drama, Adventure, Science-Fiction",7.7,2015-01-16,Ended
Sons of Liberty,English,"Drama, Action, History",7.9,2015-01-25,Ended
Street Art Throwdown,English,,,2015-02-03,Ended
Allegiance,English,"Drama, Crime, Thriller",7.0,2015-02-05,Ended
Better Call Saul,English,"Drama, Crime, Legal",8.6,2015-02-08,Ended
Outlaw Country,English,"Drama, Crime",,2015-02-24,Ended
The Last Man on Earth,English,"Comedy, Science-Fiction",7.0,2015-03-01,Ended
Backstrom,English,"Drama, Comedy, Crime",7.8,2015-01-22,Ended
Wrestling with Death,English,,,2015-01-13,Ended
Younger,English,"Comedy, Romance",7.3,2015-03-31,Ended
Hindsight,English,"Drama, Comedy, Science-Fiction",6.8,2015-01-07,Ended
Polka Kings,English,,,2015-04-11,Ended
A.D. The Bible Continues,English,"Drama, Adventure",6.1,2015-04-05,Ended
Dig,English,"Drama, Thriller, Mystery",7.3,2015-03-05,Ended
Rock This Boat: New Kids on the Block,English,,,2015-01-14,Ended
Kitchen Inferno,English,Food,,2014-11-05,Ended
Murder Book,English,Crime,,2014-12-02,Ended
My Strange Criminal Addiction,English,Crime,,2014-12-01,Ended
Momsters: When Moms Go Bad,English,,,2014-11-28,Ended
Food Truck Face Off,English,,,2014-09-28,Ended
Love the Way You Lie,English,"Drama, Crime",,2014-11-12,Ended
Ascension,English,"Drama, Science-Fiction",7.7,2014-12-15,Ended
The Pioneers,English,,,2014-12-09,Ended
Girlfriends' Guide to Divorce,English,"Drama, Comedy, Romance",7.5,2014-12-02,Ended
Sacred Journeys with Bruce Feiler,English,,,2014-12-16,Ended
Hitler the Junkie,English,"Drama, War",,2014-12-14,Ended
Biblical Conspiracies,English,History,,2014-12-14,Ended
Amish Renogades,English,"Travel, DIY",,2014-11-22,Ended
The Carbonaro Effect,English,Comedy,7.6,2014-05-15,Ended
Barmageddon,English,,,2014-10-29,Ended
My Crazy Love,English,Romance,,2014-10-28,Ended
Friends of the People,English,Comedy,,2014-10-28,Ended
Bye Felicia!,English,,,2014-12-09,Ended
Nail'd It!,English,,,2014-10-07,Ended
The Red Tent,English,Drama,6.0,2014-12-07,Ended
Risking It All,English,,,2014-11-18,Ended
The Sisterhood: Becoming Nuns,English,,,2014-11-25,Ended
Lucha Underground,English,,7.9,2014-10-29,Ended
Country Buck$,English,,,2014-11-19,Ended
Ally McBeal,English,"Drama, Comedy, Legal",7.2,1997-09-08,Ended
Spin City,English,Comedy,7.7,1996-09-17,Ended
Spooks,English,"Drama, Thriller, Espionage",8.0,2002-05-13,Ended
Crossbones,English,"Drama, Action, Adventure",6.9,2014-05-30,Ended
Torchwood,English,"Drama, Science-Fiction",8.0,2006-10-22,Ended
Joey,English,"Comedy, Romance",6.7,2004-09-09,Ended
The Great Christmas Light Fight,English,,7.2,2013-12-09,Running
Leverage,English,"Drama, Action, Crime",8.1,2008-12-07,Ended
The Shield,English,"Drama, Crime",8.6,2002-03-12,Ended
Make It or Break It,English,"Drama, Comedy, Sports",6.4,2009-06-22,Ended
M*A*S*H,English,"Comedy, War, Medical",8.5,1972-09-17,Ended
Drop Dead Diva,English,"Drama, Comedy",7.8,2009-07-12,Ended
Burn Notice,English,"Drama, Action, Crime",8.0,2007-06-28,Ended
Teenage Mutant Ninja Turtles,English,"Comedy, Action, Science-Fiction",6.7,2012-09-28,Ended
In the Flesh,English,"Drama, Horror, Supernatural",7.0,2013-03-17,Ended
Luther,English,"Drama, Crime, Thriller",8.4,2010-05-04,Ended
The Avengers: Earth's Mightiest Heroes!,English,"Action, Adventure, Science-Fiction",8.0,2010-09-22,Ended
Phineas and Ferb,English,"Comedy, Children",7.3,2007-08-17,Running
Roswell,English,"Drama, Romance, Science-Fiction",7.7,1999-10-06,Ended
Southland,English,"Drama, Crime, Thriller",8.1,2009-04-09,Ended
Ancient Aliens,English,,6.5,2009-03-08,Running
Sex and the City,English,"Drama, Comedy, Romance",7.0,1998-06-06,Ended
Rome,English,"Drama, Action, Adventure",8.4,2005-08-28,Ended
My Name Is Earl,English,Comedy,7.7,2005-09-20,Ended
Damages,English,"Drama, Legal",7.8,2007-07-24,Ended
Airwolf,English,"Action, Adventure, Science-Fiction",7.3,1984-01-22,Ended
The Pretender,English,"Drama, Adventure, Mystery",7.2,1996-09-19,Ended
Numb3rs,English,"Drama, Action, Crime",7.9,2005-01-23,Ended
Boy Meets World,English,"Drama, Comedy, Family",7.0,1993-09-24,Ended
Necessary Roughness,English,"Drama, Comedy",7.1,2011-06-29,Ended
Dance Moms,English,"Drama, Family, Music",6.0,2011-07-13,Running
Robot Chicken,English,"Comedy, Science-Fiction",7.6,2005-02-20,To Be Determined
Project Runway,English,,6.9,2004-12-01,Running
Manhattan,English,Drama,8.0,2014-07-27,Ended
Young Justice,English,"Action, Adventure, Science-Fiction",8.0,2010-11-26,Ended
Roseanne,English,"Comedy, Family",5.9,1988-10-18,Ended
Daniel Tiger's Neighborhood,English,"Comedy, Children, Fantasy",3.8,2012-09-03,Running
Everybody Hates Chris,English,Comedy,7.8,2005-09-22,Ended
Jeeves & Wooster,English,Comedy,8.0,1990-04-22,Ended
Monty Python's Flying Circus,English,Comedy,7.9,1969-10-05,Ended
Durarara!!,Japanese,"Drama, Action, Anime, Fantasy",6.5,2010-01-08,Ended
The X Factor,English,Music,6.2,2004-09-04,Ended
The Critic,English,Comedy,6.8,1994-01-26,Ended
Peg + Cat,English,Children,6.2,2013-10-07,Ended
Play for Today,English,Drama,,1970-10-15,Ended
Marco Polo,English,"Drama, Action, Adventure",8.0,2014-12-12,Ended
Dancing on the Edge,English,Drama,7.4,2013-02-04,Ended
Gold Rush,English,"Action, Adventure, Nature",8.0,2010-12-03,Running
QI,English,Comedy,8.1,2003-09-11,Running
Shaun the Sheep,English,"Comedy, Children",7.8,2007-03-05,To Be Determined
Fast N' Loud,English,,7.8,2012-06-06,Ended
Teen Titans Go!,English,"Comedy, Action, Science-Fiction",7.2,2013-04-23,Running
Sofia the First,English,"Adventure, Children, Fantasy",6.4,2013-01-11,Ended
Lilyhammer,English,"Drama, Comedy, Crime",7.9,2012-01-25,Ended
An Idiot Abroad,English,"Comedy, Adventure, Travel",7.6,2010-09-23,Ended
Mickey Mouse Clubhouse,English,"Comedy, Children",6.9,2006-05-06,Ended
Who's the Boss?,English,"Comedy, Family",7.6,1984-09-20,Ended
The Tudors,English,"Drama, History",7.9,2007-04-01,Ended
SpongeBob SquarePants,English,"Comedy, Adventure, Fantasy",8.0,1999-05-01,Running
Star Trek: Enterprise,English,"Action, Adventure, Science-Fiction",8.2,2001-09-26,Ended
Spartacus,English,"Drama, Action, History",8.5,2010-01-22,Ended
Quantum Leap,English,"Drama, Action, Science-Fiction",8.0,1989-03-26,Ended
The Tonight Show Starring Jimmy Fallon,English,Comedy,4.4,2014-02-17,Running
Tanked,English,,7.5,2011-08-07,Ended
Rules of Engagement,English,"Comedy, Romance",7.9,2007-02-05,Ended
Pawnography,English,,,2014-07-10,Ended
The Golden Girls,English,"Drama, Comedy",8.0,1985-09-14,Ended
Where on Earth is Carmen Sandiego?,English,"Action, Adventure",6.4,1994-02-05,Ended
WWII in HD,English,"War, History",,2009-11-15,Ended
Pee-Wee's Playhouse,English,Comedy,7.4,1986-09-13,Ended
The Profit,English,,8.0,2013-07-30,Ended
Casualty,English,"Drama, Medical",7.2,1986-09-06,Running
Blue Mountain State,English,"Comedy, Sports",8.0,2010-01-11,Ended
Bar Rescue,English,Food,7.3,2011-07-17,Running
Fresh Off the Boat,English,Comedy,7.3,2015-02-04,Ended
The Whispers,English,"Drama, Science-Fiction, Thriller",6.9,2015-06-01,Ended
Battle Creek,English,"Drama, Comedy, Crime",7.2,2015-03-01,Ended
CSI: Cyber,English,"Drama, Action, Crime",6.7,2015-03-04,Ended
Teenage Mutant Ninja Turtles,English,"Comedy, Action, Science-Fiction",7.5,2003-02-08,Ended
Bubble Guppies,English,Children,5.4,2011-01-24,Ended
Pregnant in Heels,English,,,2011-04-05,Ended
The Odd Couple,English,Comedy,6.8,2015-02-19,Ended
Zoo,English,"Drama, Science-Fiction, Thriller",7.3,2015-06-30,Ended
Are You Smarter Than a 5th Grader?,English,,,2007-02-27,Ended
10 Things I Hate About You,English,"Drama, Comedy",6.3,2009-07-07,Ended
The Bachelorette,English,Romance,3.3,2003-01-08,Running
NY Med,English,"Drama, Medical",,2012-07-10,Ended
The Real Housewives of Beverly Hills,English,,6.0,2010-10-14,Running
Shameless,English,"Drama, Comedy, Family",8.1,2004-01-13,Ended
Naked and Afraid,English,"Adventure, Nature",6.5,2013-06-23,Running
Oz,English,"Drama, Crime",8.7,1997-07-12,Ended
CSI: NY,English,"Drama, Action, Crime",7.8,2004-09-22,Ended
The Real Housewives of New York City,English,,5.5,2008-03-04,Running
The Graham Norton Show,English,Comedy,8.1,2007-02-22,Running
My Boys,English,"Drama, Comedy",6.7,2006-11-28,Ended
Comedy Bang! Bang!,English,Comedy,,2012-06-08,Ended
Kill la Kill,Japanese,"Action, Adventure, Anime, Fantasy",6.9,2013-10-04,Ended
Freaks and Geeks,English,"Drama, Comedy",8.0,1999-09-25,Ended
Not Going Out,English,Comedy,7.8,2006-10-06,Running
Batman: The Animated Series,English,"Action, Adventure, Science-Fiction",8.5,1992-09-05,Ended
The Secret Life of the American Teenager,English,"Drama, Comedy, Family",6.6,2008-07-01,Ended
Good Luck Charlie,English,"Comedy, Family",7.7,2010-04-04,Ended
Miami Vice,English,"Drama, Action, Crime",7.4,1984-09-16,Ended
Edge of Alaska,English,,7.3,2014-10-24,Ended
The Big C,English,"Drama, Comedy",7.3,2010-08-16,Ended
The Honourable Woman,English,"Drama, Thriller, Espionage",7.9,2014-07-03,Ended
Bored to Death,English,"Drama, Comedy, Crime",7.7,2009-09-20,Ended
Teen Titans,English,"Action, Adventure, Science-Fiction",7.3,2003-07-19,Ended
Doctor Who,English,"Action, Adventure, Science-Fiction",8.4,1963-11-23,Ended
How It's Made,English,,7.7,2001-01-06,Ended
Planet Earth,English,Nature,8.8,2006-03-05,Ended
Better Off Ted,English,Comedy,8.2,2009-03-18,Ended
Private Practice,English,"Drama, Romance, Medical",7.7,2007-09-26,Ended
Royal Pains,English,"Drama, Comedy, Family",7.4,2009-06-04,Ended
Cold Case,English,"Drama, Crime",8.0,2003-09-28,Ended
Medium,English,"Drama, Crime, Supernatural",7.4,2005-01-03,Ended
The Cleveland Show,English,Comedy,7.0,2009-09-27,Ended
The Closer,English,"Drama, Crime, Mystery",7.9,2005-06-13,Ended
The O.C.,English,"Drama, Comedy, Romance",7.2,2003-08-05,Ended
Hannah Montana,English,"Comedy, Family, Music",6.2,2006-03-24,Ended
Army Wives,English,"Drama, Family, Romance",8.0,2007-06-03,Ended
Brothers & Sisters,English,Drama,7.6,2006-09-24,Ended
Flashpoint,English,"Action, Adventure, Crime",7.8,2008-07-11,Ended
Friday Night Lights,English,"Drama, Sports",8.2,2006-10-03,Ended
Gunsmoke,English,"Action, Adventure, Western",7.8,1955-09-10,Ended
Body of Proof,English,"Drama, Crime",7.7,2011-03-29,Ended
Law & Order: Criminal Intent,English,"Drama, Crime, Legal",7.8,2001-09-30,Ended
The Twilight Zone,English,"Science-Fiction, Mystery, Supernatural",8.9,1959-10-02,Ended
GREEK,English,"Drama, Comedy",7.8,2007-07-09,Ended
Merlin,English,"Adventure, Fantasy, Science-Fiction",7.9,2008-09-20,Ended
The Unit,English,"Drama, Action, Crime",8.4,2006-03-07,Ended
Misfits,English,"Drama, Comedy, Science-Fiction",7.8,2009-11-12,Ended
The Tonight Show with Jay Leno,English,Comedy,,1992-05-25,Ended
EastEnders,English,Drama,6.7,1985-02-19,Running
Power Rangers,English,"Action, Children, Science-Fiction",6.5,1993-08-28,Ended
Jericho,English,"Drama, Action, Science-Fiction",8.0,2006-09-20,Ended
Ugly Betty,English,"Drama, Comedy",7.6,2006-09-28,Ended
Rescue Me,English,"Drama, Comedy",8.0,2004-07-21,Ended
Deadliest Catch,English,"Action, Adventure, Nature",7.5,2005-04-12,Running
7th Heaven,English,"Drama, Family",7.0,1996-08-26,Ended
Kyle XY,English,"Drama, Science-Fiction, Mystery",7.9,2006-06-26,Ended
Jersey Shore,English,,5.4,2009-12-03,Ended
WWE Monday Night RAW,English,,7.4,1993-01-11,Running
WWE Friday Night SmackDown,English,"Drama, Comedy, Action",4.2,1999-04-29,Running
Strike Back,English,"Drama, Action, War",8.3,2010-05-05,Ended
Kitchen Nightmares,English,Food,7.6,2007-09-19,Running
The Bold and the Beautiful,English,"Drama, Family, Romance",5.5,1987-03-23,Running
Wizards of Waverly Place,English,"Comedy, Family, Fantasy",7.8,2007-10-12,Ended
iCarly,English,"Comedy, Children, Family",6.5,2007-09-08,Ended
Being Human,English,"Drama, Comedy, Science-Fiction",8.1,2009-01-25,Ended
In Plain Sight,English,"Drama, Action, Crime",7.9,2008-06-01,Ended
Suburgatory,English,Comedy,7.1,2011-09-28,Ended
Days of Our Lives,English,"Drama, Family, Romance",7.0,1965-11-08,Running
Without a Trace,English,"Drama, Crime, Thriller",7.6,2002-09-26,Ended
No Ordinary Family,English,"Drama, Action, Science-Fiction",7.8,2010-09-28,Ended
Reaper,English,"Drama, Comedy, Supernatural",7.7,2007-09-25,Ended
So You Think You Can Dance,English,Music,6.1,2005-07-20,Ended
Big Love,English,Drama,7.7,2006-03-12,Ended
"Beverly Hills, 90210",English,"Drama, Romance",6.5,1990-10-04,Ended
Wife Swap,English,,,2004-09-26,Ended
Hung,English,"Drama, Comedy",6.9,2009-06-28,Ended
MacGyver,English,"Action, Adventure",8.1,1985-09-29,Ended
Penn & Teller: Bullshit!,English,Comedy,8.0,2003-01-24,Ended
The L Word,English,"Drama, Romance",7.4,2004-01-15,Ended
Ice Road Truckers,English,"Drama, Action",6.9,2007-06-17,Running
Knight Rider,English,"Drama, Action, Crime",7.6,1982-09-26,Ended
Bewitched,English,"Comedy, Family, Fantasy",7.4,1964-09-17,Ended
The Cleaner,English,"Drama, Action",6.9,2008-07-15,Ended
Mistresses,English,"Drama, Romance",6.2,2008-01-08,Ended
Hotel Impossible,English,Travel,,2012-04-09,Ended
