Title,Language,Genres,Rating,Premiered,Status,Rating_Percent,Release_Year,Show_Age,Popularity,Main_Genre
Sirens,English,Comedy,7.7,2014-03-06,Ended,77.0,2014,12,Medium,Comedy
Six Feet Under,English,"Drama, Comedy",8.1,2001-06-03,Ended,81.0,2001,25,High,Drama
Red Dwarf,English,"Comedy, Science-Fiction",7.9,1988-02-15,Ended,79.0,1988,38,Medium,Comedy
Wizards vs Aliens,English,"Fantasy, Science-Fiction",7.5,2012-10-29,Ended,75.0,2012,14,Medium,Fantasy
Workaholics,English,Comedy,7.3,2011-04-06,Ended,73.0,2011,15,Medium,Comedy
The Red Road,English,"Drama, Crime, Family",7.4,2014-02-27,Ended,74.0,2014,12,Medium,Drama
See Dad Run,English,Comedy,5.8,2012-10-06,Ended,58.0,2012,14,Low,Comedy
Moone Boy,English,Comedy,7.4,2012-09-14,Ended,74.0,2012,14,Medium,Comedy
Inside No. 9,English,"Comedy, Thriller, Supernatural",8.0,2014-02-05,Ended,80.0,2014,12,High,Comedy
Broad City,English,Comedy,8.0,2014-01-22,Ended,80.0,2014,12,High,Comedy
Portlandia,English,Comedy,6.9,2011-01-21,Ended,69.0,2011,15,Medium,Comedy
The Musketeers,English,"Drama, Action, Adventure",8.0,2014-01-19,Ended,80.0,2014,12,High,Drama
Citizen Khan,English,"Comedy, Family",6.7,2012-08-27,Ended,67.0,2012,14,Medium,Comedy
Mythbusters,English,"Adventure, Nature, DIY",8.0,2003-01-23,Ended,80.0,2003,23,High,Adventure
Birds of a Feather,English,Comedy,7.3,1989-10-16,Ended,73.0,1989,37,Medium,Comedy
Aqua Teen Hunger Force,English,"Comedy, Action, Adventure",7.6,2000-12-30,Ended,76.0,2000,26,Medium,Comedy
Peep Show,English,Comedy,8.0,2003-09-19,Ended,80.0,2003,23,High,Comedy
Major Crimes,English,"Drama, Action, Crime",8.0,2012-08-13,Ended,80.0,2012,14,High,Drama
Mad Men,English,Drama,8.1,2007-07-19,Ended,81.0,2007,19,High,Drama
Yonderland,English,"Comedy, Fantasy",7.8,2013-11-10,Ended,78.0,2013,13,Medium,Comedy
Rookie Blue,English,"Drama, Action, Crime",7.5,2010-06-24,Ended,75.0,2010,16,Medium,Drama
The Late Late Show with Craig Ferguson,English,Comedy,6.9,2005-01-03,Ended,69.0,2005,21,Medium,Comedy
Last Call with Carson Daly,English,Unknown,7.6,2002-01-08,Ended,76.0,2002,24,Low,Unknown
Life Is Toff,English,Unknown,7.6,2014-10-28,Ended,76.0,2014,12,Low,Unknown
Hunted,English,"Drama, Action, Thriller",8.0,2012-10-04,Ended,80.0,2012,14,High,Drama
Video Game High School,English,"Comedy, Action, Science-Fiction",7.5,2012-05-11,Ended,75.0,2012,14,Medium,Comedy
Call the Midwife,English,"Drama, Medical",8.0,2012-01-15,Running,80.0,2012,14,High,Drama
Longmire,English,"Drama, Thriller, Western",8.3,2012-06-03,Ended,83.0,2012,14,High,Drama
Gravity Falls,English,"Adventure, Mystery, Supernatural",8.9,2012-06-15,Ended,89.0,2012,14,High,Adventure
Don't Trust the B---- in Apartment 23,English,Comedy,7.5,2012-04-11,Ended,75.0,2012,14,Medium,Comedy
Duck Dynasty,English,"Comedy, Adventure",5.8,2012-03-21,Ended,58.0,2012,14,Low,Comedy
The Client List,English,"Drama, Romance",6.5,2012-04-08,Ended,65.0,2012,14,Medium,Drama
Copper,English,"Drama, Crime",7.7,2012-08-19,Ended,77.0,2012,14,Medium,Drama
Smash,English,Drama,7.9,2012-02-06,Ended,79.0,2012,14,Medium,Drama
A Young Doctor's Notebook,English,"Drama, Comedy",7.5,2012-12-06,Ended,75.0,2012,14,Medium,Drama
Touch,English,"Drama, Science-Fiction, Mystery",7.5,2012-01-25,Ended,75.0,2012,14,Medium,Drama
Magic City,English,"Drama, Crime, Mystery",7.9,2012-03-30,Ended,79.0,2012,14,Medium,Drama
Derek,English,"Drama, Comedy",8.0,2012-04-12,Ended,80.0,2012,14,High,Drama
Men at Work,English,"Drama, Comedy",6.9,2012-05-24,Ended,69.0,2012,14,Medium,Drama
Mortal Kombat: Legacy,English,"Action, Adventure, Fantasy",7.3,2011-04-12,Ended,73.0,2011,15,Medium,Action
Jane by Design,English,"Drama, Comedy",7.8,2012-01-03,Ended,78.0,2012,14,Medium,Drama
Invader ZIM,English,Children,7.8,2001-03-30,Ended,78.0,2001,25,Medium,Children
The Cape,English,"Drama, Crime, Supernatural",6.5,2011-01-09,Ended,65.0,2011,15,Medium,Drama
Fairly Legal,English,Drama,7.8,2011-01-20,Ended,78.0,2011,15,Medium,Drama
Whitney,English,"Comedy, Romance",7.2,2011-09-22,Ended,72.0,2011,15,Medium,Comedy
Duckman: Private Dick/Family Man,English,"Comedy, Crime",7.4,1994-03-05,Ended,74.0,1994,32,Medium,Comedy
Olive Kitteridge,English,Drama,8.0,2014-11-02,Ended,80.0,2014,12,High,Drama
Are You the One?,English,Romance,5.5,2014-01-21,Ended,55.0,2014,12,Low,Romance
MasterChef Junior,English,"Children, Food",6.9,2013-09-27,Ended,69.0,2013,13,Medium,Children
Chrisley Knows Best,English,"Comedy, Family",5.4,2014-03-11,Ended,54.0,2014,12,Low,Comedy
Snooki & JWoww,English,Unknown,5.3,2012-06-21,Ended,53.0,2012,14,Low,Unknown
Slednecks,English,Unknown,7.6,2014-10-30,Ended,76.0,2014,12,Low,Unknown
Rugrats,English,"Comedy, Children",7.2,1991-08-11,Ended,72.0,1991,35,Medium,Comedy
A Gifted Man,English,"Drama, Fantasy, Medical",7.7,2011-09-23,Ended,77.0,2011,15,Medium,Drama
Life's Too Short,English,Comedy,7.3,2011-11-10,Ended,73.0,2011,15,Medium,Comedy
Kourtney & Khloe Take the Hamptons,English,Unknown,7.6,2014-11-02,Ended,76.0,2014,12,Low,Unknown
The Passing Bells,English,"Drama, War, History",7.0,2014-11-03,Ended,70.0,2014,12,Medium,Drama
The People Remember,English,History,7.6,2014-11-03,Ended,76.0,2014,12,Low,History
Buffy the Vampire Slayer,English,"Drama, Action, Supernatural",8.4,1997-03-10,Ended,84.0,1997,29,High,Drama
Angel,English,"Drama, Action, Supernatural",8.0,1999-10-05,Ended,80.0,1999,27,High,Drama
Farscape,English,"Action, Adventure, Science-Fiction",8.6,1999-03-19,Ended,86.0,1999,27,High,Action
The X-Files,English,"Drama, Crime, Science-Fiction",8.6,1993-09-10,Ended,86.0,1993,33,High,Drama
Friends,English,"Comedy, Romance",8.5,1994-09-22,Ended,85.0,1994,32,High,Comedy
Dollhouse,English,"Action, Science-Fiction",7.7,2009-02-13,Ended,77.0,2009,17,Medium,Action
Caprica,English,"Drama, Science-Fiction",7.5,2010-01-22,Ended,75.0,2010,16,Medium,Drama
Warehouse 13,English,"Drama, Science-Fiction, Mystery",8.4,2009-07-07,Ended,84.0,2009,17,High,Drama
Smallville,English,"Drama, Adventure, Science-Fiction",8.1,2001-10-16,Ended,81.0,2001,25,High,Drama
Dead Like Me,English,"Drama, Comedy, Supernatural",8.1,2003-06-27,Ended,81.0,2003,23,High,Drama
Xena: Warrior Princess,English,"Action, Adventure, Fantasy",7.7,1995-09-04,Ended,77.0,1995,31,Medium,Action
The Adventures of Sinbad,English,"Action, Adventure",6.0,1996-09-28,Ended,60.0,1996,30,Medium,Action
Wolverine and the X-Men,English,"Action, Adventure, Science-Fiction",7.7,2008-09-08,Ended,77.0,2008,18,Medium,Action
Everwood,English,"Drama, Family, Romance",8.0,2002-09-16,Ended,80.0,2002,24,High,Drama
Once a Thief,English,"Comedy, Action, Thriller",7.5,1997-09-15,Ended,75.0,1997,29,Medium,Comedy
XIII: The Series,English,"Action, Adventure",7.8,2011-04-20,Ended,78.0,2011,15,Medium,Action
Metal Hurlant Chronicles,English,"Action, Adventure, Science-Fiction",6.4,2012-10-27,Ended,64.0,2012,14,Medium,Action
Defying Gravity,English,"Drama, Science-Fiction, Thriller",7.8,2009-08-02,Ended,78.0,2009,17,Medium,Drama
Charlie's Angels,English,"Action, Crime",7.7,2011-09-22,Ended,77.0,2011,15,Medium,Action
The Universe,English,"Adventure, Family, Science-Fiction",7.8,2007-05-29,Ended,78.0,2007,19,Medium,Adventure
True Justice,English,"Drama, Action, Crime",6.3,2012-03-30,Ended,63.0,2012,14,Medium,Drama
Wolf Lake,English,"Drama, Crime, Supernatural",7.8,2001-09-19,Ended,78.0,2001,25,Medium,Drama
Knight Rider,English,"Action, Adventure, Science-Fiction",6.8,2008-02-17,Ended,68.0,2008,18,Medium,Action
The Deep,English,Drama,7.5,2010-08-03,Ended,75.0,2010,16,Medium,Drama
Tales from the Crypt,English,"Comedy, Fantasy, Horror",8.0,1989-06-10,Ended,80.0,1989,37,High,Comedy
Pacific Blue,English,"Drama, Action, Crime",6.5,1996-03-02,Ended,65.0,1996,30,Medium,Drama
Blade: The Series,English,"Action, Supernatural",6.8,2006-06-28,Ended,68.0,2006,20,Medium,Action
Moonlight,English,"Drama, Horror, Romance",7.9,2007-09-28,Ended,79.0,2007,19,Medium,Drama
The Event,English,"Drama, Action, Science-Fiction",7.3,2010-09-20,Ended,73.0,2010,16,Medium,Drama
FlashForward,English,"Drama, Crime, Science-Fiction",7.8,2009-09-24,Ended,78.0,2009,17,Medium,Drama
Harper's Island,English,"Horror, Thriller, Mystery",7.7,2009-04-09,Ended,77.0,2009,17,Medium,Horror
Adventure Inc.,English,"Action, Adventure",7.3,2002-09-30,Ended,73.0,2002,24,Medium,Action
Legend of the Seeker,English,"Action, Adventure, Fantasy",7.9,2008-11-01,Ended,79.0,2008,18,Medium,Action
TekWar,English,"Action, Science-Fiction",7.4,1994-12-22,Ended,74.0,1994,32,Medium,Action
Dark Skies,English,"Drama, Science-Fiction",7.8,1996-09-21,Ended,78.0,1996,30,Medium,Drama
The Pacific,English,"Drama, Action, War",8.3,2010-03-14,Ended,83.0,2010,16,High,Drama
Band of Brothers,English,"Drama, Action, War",9.0,2001-09-09,Ended,90.0,2001,25,High,Drama
Columbo,English,"Drama, Crime, Mystery",8.0,1968-02-20,Ended,80.0,1968,58,High,Drama
Blood Ties,English,"Fantasy, Horror, Mystery",7.9,2007-03-11,Ended,79.0,2007,19,Medium,Fantasy
"Walker, Texas Ranger",English,"Drama, Action, Crime",6.8,1993-04-21,Ended,68.0,1993,33,Medium,Drama
ReGenesis,English,"Drama, Science-Fiction, Mystery",7.8,2004-10-24,Ended,78.0,2004,22,Medium,Drama
The Prisoner,English,"Drama, Science-Fiction, Mystery",8.0,1967-10-01,Ended,80.0,1967,59,High,Drama
X-Men,English,"Children, Science-Fiction",8.0,1992-10-31,Ended,80.0,1992,34,High,Children
Veronica Mars,English,"Drama, Crime, Mystery",8.5,2004-09-22,Ended,85.0,2004,22,High,Drama
Babylon 5,English,"Drama, Action, Science-Fiction",8.4,1993-02-22,Ended,84.0,1993,33,High,Drama
Dead Set,English,"Comedy, Fantasy, Horror",7.3,2008-10-27,Ended,73.0,2008,18,Medium,Comedy
Son of the Beach,English,Comedy,7.6,2000-03-14,Ended,76.0,2000,26,Low,Comedy
Terminator: The Sarah Connor Chronicles,English,"Drama, Action, Science-Fiction",8.2,2008-01-13,Ended,82.0,2008,18,High,Drama
Witchblade,English,"Action, Crime, Supernatural",7.7,2000-08-27,Ended,77.0,2000,26,Medium,Action
Birds of Prey,English,"Action, Adventure, Science-Fiction",7.7,2002-10-09,Ended,77.0,2002,24,Medium,Action
The Batman,English,"Action, Adventure, Science-Fiction",7.7,2004-09-11,Ended,77.0,2004,22,Medium,Action
Masters of Horror,English,Horror,7.5,2005-10-28,Ended,75.0,2005,21,Medium,Horror
The 4400,English,"Drama, Science-Fiction, Mystery",7.7,2004-07-11,Ended,77.0,2004,22,Medium,Drama
Painkiller Jane,English,"Action, Adventure, Science-Fiction",7.2,2007-04-13,Ended,72.0,2007,19,Medium,Action
Day Break,English,"Drama, Science-Fiction, Thriller",7.8,2006-11-15,Ended,78.0,2006,20,Medium,Drama
Andromeda,English,"Action, Science-Fiction",7.7,2000-10-02,Ended,77.0,2000,26,Medium,Action
Harsh Realm,English,"Drama, Action, Science-Fiction",7.0,1999-10-08,Ended,70.0,1999,27,Medium,Drama
Naruto: Shippūden,Japanese,"Action, Adventure, Anime, Fantasy",8.5,2007-02-15,Ended,85.0,2007,19,High,Action
Sonic Boom,English,"Comedy, Action, Children",4.6,2014-11-08,Ended,46.0,2014,12,Low,Comedy
Star Trek,English,"Action, Adventure, Science-Fiction",8.4,1966-09-08,Ended,84.0,1966,60,High,Action
Star Trek: The Next Generation,English,"Action, Adventure, Science-Fiction",8.7,1987-09-28,Ended,87.0,1987,39,High,Action
Star Trek: Voyager,English,"Action, Adventure, Science-Fiction",8.3,1995-01-16,Ended,83.0,1995,31,High,Action
Star Trek: Deep Space Nine,English,"Action, Adventure, Science-Fiction",8.4,1993-01-03,Ended,84.0,1993,33,High,Action
V,English,"Drama, Adventure, Science-Fiction",7.4,2009-11-03,Ended,74.0,2009,17,Medium,Drama
Naruto,Japanese,"Action, Adventure, Anime, Fantasy",8.1,2002-10-03,Ended,81.0,2002,24,High,Action
100 Things to Do Before High School,English,"Comedy, Children",6.5,2014-11-11,Ended,65.0,2014,12,Medium,Comedy
Strip the Cosmos,English,"Mystery, Nature, History",7.2,2014-11-12,Ended,72.0,2014,12,Medium,Mystery
Dogs of War,English,War,7.6,2014-11-11,Ended,76.0,2014,12,Low,War
Married... with Children,English,"Comedy, Family, Adult",8.1,1987-04-05,Ended,81.0,1987,39,High,Comedy
Mutant X,English,"Action, Adventure, Science-Fiction",6.9,2001-10-06,Ended,69.0,2001,25,Medium,Action
Northern Exposure,English,"Drama, Comedy",8.2,1990-07-12,Ended,82.0,1990,36,High,Drama
The Lost World,English,"Action, Adventure, Science-Fiction",7.9,1999-04-03,Ended,79.0,1999,27,Medium,Action
The Lost Room,English,"Drama, Science-Fiction, Thriller",8.0,2006-12-11,Ended,80.0,2006,20,High,Drama
Batman Beyond,English,"Action, Adventure, Science-Fiction",8.0,1999-01-10,Ended,80.0,1999,27,High,Action
Justice League Unlimited,English,"Action, Adventure, Science-Fiction",7.9,2004-07-31,Ended,79.0,2004,22,Medium,Action
Charmed,English,"Drama, Romance, Supernatural",8.1,1998-10-07,Ended,81.0,1998,28,High,Drama
Angels in America,English,"Drama, Fantasy",7.9,2003-12-07,Ended,79.0,2003,23,Medium,Drama
The Grid,English,"Drama, Thriller",7.9,2004-07-19,Ended,79.0,2004,22,Medium,Drama
Mr. Sunshine,English,"Comedy, Sports",6.9,2011-02-09,Ended,69.0,2011,15,Medium,Comedy
Breaking In,English,"Comedy, Action, Crime",7.4,2011-04-06,Ended,74.0,2011,15,Medium,Comedy
The Chicago Code,English,Drama,7.7,2011-02-07,Ended,77.0,2011,15,Medium,Drama
Up All Night,English,Comedy,6.5,2011-09-14,Ended,65.0,2011,15,Medium,Comedy
The Nine Lives of Chloe King,English,"Drama, Action, Supernatural",6.8,2011-06-14,Ended,68.0,2011,15,Medium,Drama
Jessie,English,Comedy,7.3,2011-09-30,Ended,73.0,2011,15,Medium,Comedy
The Borgias,English,"Drama, Romance, History",7.8,2011-04-03,Ended,78.0,2011,15,Medium,Drama
Terra Nova,English,"Action, Adventure, Science-Fiction",7.5,2011-09-26,Ended,75.0,2011,15,Medium,Action
Psych,English,"Drama, Comedy, Crime",8.0,2006-07-07,Ended,80.0,2006,20,High,Drama
Bad Girls Club,English,Unknown,7.6,2006-12-05,Ended,76.0,2006,20,Low,Unknown
Preachers of L.A.,English,Unknown,7.6,2013-10-09,Ended,76.0,2013,13,Low,Unknown
Lie to Me,English,"Drama, Crime, Mystery",8.0,2009-01-21,Ended,80.0,2009,17,High,Drama
The Real Housewives of New Jersey,English,Unknown,5.6,2009-05-12,Running,56.0,2009,17,Low,Unknown
The West Wing,English,Drama,8.6,1999-09-22,Ended,86.0,1999,27,High,Drama
Moonshiners,English,Unknown,6.1,2011-12-06,Running,61.0,2011,15,Medium,Unknown
Gilmore Girls,English,"Drama, Comedy, Romance",8.0,2000-10-05,Ended,80.0,2000,26,High,Drama
The Office,English,Comedy,8.5,2005-03-24,Ended,85.0,2005,21,High,Comedy
The Sopranos,English,"Drama, Crime",8.8,1999-01-10,Ended,88.0,1999,27,High,Drama
Cupcake Wars,English,Food,7.6,2010-06-13,Ended,76.0,2010,16,Low,Food
Seinfeld,English,Comedy,8.3,1989-07-05,Ended,83.0,1989,37,High,Comedy
Breaking Amish,English,Unknown,7.6,2012-09-09,Ended,76.0,2012,14,Low,Unknown
Scrubs,English,"Drama, Comedy, Medical",8.4,2001-10-02,Ended,84.0,2001,25,High,Drama
Instant Mom,English,"Comedy, Family",7.0,2013-09-29,Ended,70.0,2013,13,Medium,Comedy
Pawn Stars,English,Unknown,6.8,2009-07-19,Running,68.0,2009,17,Medium,Unknown
Anthony Bourdain: No Reservations,English,"Food, Travel",7.8,2005-07-25,Ended,78.0,2005,21,Medium,Food
Whose Line Is It Anyway?,English,"Comedy, Family",7.7,1998-08-05,Ended,77.0,1998,28,Medium,Comedy
30 Rock,English,Comedy,8.0,2006-10-11,Ended,80.0,2006,20,High,Comedy
Futurama,English,"Comedy, Adventure, Science-Fiction",8.6,1999-03-28,Running,86.0,1999,27,High,Comedy
The IT Crowd,English,Comedy,8.7,2006-02-03,Ended,87.0,2006,20,High,Comedy
Frasier,English,Comedy,8.0,1993-09-16,Ended,80.0,1993,33,High,Comedy
Prison Break,English,"Drama, Crime, Thriller",8.2,2005-08-29,Ended,82.0,2005,21,High,Drama
Eureka,English,"Drama, Comedy, Science-Fiction",8.5,2006-07-18,Ended,85.0,2006,20,High,Drama
Monk,English,"Drama, Crime, Mystery",8.0,2002-07-12,Ended,80.0,2002,24,High,Drama
Home Improvement,English,"Comedy, Family",7.2,1991-09-17,Ended,72.0,1991,35,Medium,Comedy
Halo: Nightfall,English,"Action, Adventure, Science-Fiction",6.2,2014-11-11,Ended,62.0,2014,12,Medium,Action
Babylon,English,"Drama, Comedy, Crime",7.9,2014-02-09,Ended,79.0,2014,12,Medium,Drama
ER,English,"Drama, Medical",7.9,1994-09-19,Ended,79.0,1994,32,Medium,Drama
Skins,English,"Drama, Comedy",7.9,2007-01-25,Ended,79.0,2007,19,Medium,Drama
Will & Grace,English,Comedy,7.3,1998-09-21,Ended,73.0,1998,28,Medium,Comedy
Desperate Housewives,English,"Drama, Mystery",7.5,2004-10-03,Ended,75.0,2004,22,Medium,Drama
Curb Your Enthusiasm,English,Comedy,7.9,2000-10-15,Ended,79.0,2000,26,Medium,Comedy
The King of Queens,English,"Comedy, Family",7.1,1998-09-21,Ended,71.0,1998,28,Medium,Comedy
Cheers,English,Comedy,8.0,1982-09-30,Ended,80.0,1982,44,High,Comedy
Dark Angel,English,"Action, Science-Fiction",8.0,2000-10-03,Ended,80.0,2000,26,High,Action
Avatar: The Last Airbender,English,"Action, Adventure, Fantasy",9.0,2005-02-21,Ended,90.0,2005,21,High,Action
Wilfred,English,"Drama, Comedy, Mystery",7.6,2011-06-23,Ended,76.0,2011,15,Medium,Drama
Alias,English,"Drama, Action, Espionage",8.0,2001-09-30,Ended,80.0,2001,25,High,Drama
Persons Unknown,English,"Drama, Thriller, Mystery",7.2,2010-06-07,Ended,72.0,2010,16,Medium,Drama
Entourage,English,"Drama, Comedy",7.7,2004-07-18,Ended,77.0,2004,22,Medium,Drama
One Tree Hill,English,Drama,7.8,2003-09-23,Ended,78.0,2003,23,Medium,Drama
La Femme Nikita,English,"Drama, Action, Thriller",7.7,1997-01-13,Ended,77.0,1997,29,Medium,Drama
Law & Order,English,"Drama, Crime, Legal",7.4,1990-09-13,Running,74.0,1990,36,Medium,Drama
Star Wars: The Clone Wars,English,"Action, Adventure, Science-Fiction",8.4,2008-10-03,Ended,84.0,2008,18,High,Action
Nip/Tuck,English,"Drama, Medical",7.8,2003-07-22,Ended,78.0,2003,23,Medium,Drama
Deadwood,English,"Drama, Crime, Western",8.7,2004-03-21,Ended,87.0,2004,22,High,Drama
Ghost Whisperer,English,"Drama, Fantasy",7.7,2005-09-23,Ended,77.0,2005,21,Medium,Drama
Gossip Girl,English,"Drama, Romance",7.3,2007-09-19,Ended,73.0,2007,19,Medium,Drama
Malcolm in the Middle,English,Comedy,7.7,2000-01-09,Running,77.0,2000,26,Medium,Comedy
Dharma & Greg,English,"Comedy, Family, Romance",7.4,1997-09-24,Ended,74.0,1997,29,Medium,Comedy
NYPD Blue,English,"Drama, Crime",7.9,1993-09-21,Ended,79.0,1993,33,Medium,Drama
The Glades,English,"Drama, Action, Crime",7.9,2010-07-11,Ended,79.0,2010,16,Medium,Drama
American Pickers,English,"Travel, History",7.4,2010-01-18,To Be Determined,74.0,2010,16,Medium,Travel
Everybody Loves Raymond,English,"Comedy, Family",7.0,1996-09-13,Ended,70.0,1996,30,Medium,Comedy
Happy Endings,English,Comedy,7.3,2011-04-13,Ended,73.0,2011,15,Medium,Comedy
Keeping Up with the Kardashians,English,Drama,3.3,2007-10-14,Ended,33.0,2007,19,Low,Drama
CSI: Miami,English,"Drama, Crime",7.6,2002-09-23,Ended,76.0,2002,24,Medium,Drama
Fawlty Towers,English,Comedy,8.4,1975-09-19,Ended,84.0,1975,51,High,Comedy
90210,English,"Drama, Romance",6.4,2008-09-02,Ended,64.0,2008,18,Medium,Drama
Harry's Law,English,"Drama, Legal",7.4,2011-01-17,Ended,74.0,2011,15,Medium,Drama
Raising Hope,English,"Comedy, Family",7.9,2010-09-21,Ended,79.0,2010,16,Medium,Comedy
JAG,English,"Drama, Crime, Legal",7.4,1995-09-23,Ended,74.0,1995,31,Medium,Drama
The Fresh Prince of Bel-Air,English,"Comedy, Family",7.9,1990-09-10,Ended,79.0,1990,36,Medium,Comedy
Sliders,English,"Adventure, Fantasy, Science-Fiction",7.8,1995-03-22,Ended,78.0,1995,31,Medium,Adventure
Las Vegas,English,"Drama, Crime",7.6,2003-09-22,Ended,76.0,2003,23,Medium,Drama
Ghost Hunters,English,Supernatural,6.2,2004-10-06,To Be Determined,62.0,2004,22,Medium,Supernatural
Breakout Kings,English,"Drama, Action, Crime",7.3,2011-03-06,Ended,73.0,2011,15,Medium,Drama
That '70s Show,English,Comedy,8.0,1998-08-23,Ended,80.0,1998,28,High,Comedy
NTSF:SD:SUV,English,"Comedy, Espionage",6.9,2011-07-22,Ended,69.0,2011,15,Medium,Comedy
Bad Teacher,English,Comedy,5.9,2014-04-24,Ended,59.0,2014,12,Low,Comedy
Pokémon,Japanese,"Adventure, Anime, Fantasy",7.8,1997-04-01,Running,78.0,1997,29,Medium,Adventure
Eat: The Story of Food,English,Food,7.6,2014-11-21,Ended,76.0,2014,12,Low,Food
"Dr. Oakley, Yukon Vet",English,Unknown,7.9,2014-04-12,Running,79.0,2014,12,Medium,Unknown
Murdoch Mysteries,English,"Drama, Crime, Mystery",8.1,2008-01-24,Running,81.0,2008,18,High,Drama
Henry Danger,English,"Comedy, Family, Science-Fiction",6.7,2014-07-26,Ended,67.0,2014,12,Medium,Comedy
The Thundermans,English,"Comedy, Family, Science-Fiction",6.4,2013-10-14,Ended,64.0,2013,13,Medium,Comedy
The Real Housewives of Atlanta,English,Unknown,4.4,2008-10-07,Running,44.0,2008,18,Low,Unknown
Boston Legal,English,"Drama, Comedy, Legal",8.0,2004-10-03,Ended,80.0,2004,22,High,Drama
Hair Jacked,English,Unknown,7.6,2014-10-27,Ended,76.0,2014,12,Low,Unknown
Crowd Control,English,Unknown,7.6,2014-11-24,Ended,76.0,2014,12,Low,Unknown
Fake Off,English,Unknown,7.6,2014-10-27,Ended,76.0,2014,12,Low,Unknown
Euros of Hollywood,English,Unknown,7.6,2014-11-03,Ended,76.0,2014,12,Low,Unknown
Godfather of Pittsburgh,English,Unknown,7.6,2014-11-10,Ended,76.0,2014,12,Low,Unknown
Booze Traveler,English,"Food, Travel",7.6,2014-11-24,Ended,76.0,2014,12,Low,Food
Eric Greenspan is Hungry,English,"Food, Travel",7.6,2014-11-24,Ended,76.0,2014,12,Low,Food
Air Warriors,English,"Drama, Action, War",6.8,2014-11-09,Ended,68.0,2014,12,Medium,Drama
The Astronaut Wives Club,English,"Drama, History",7.2,2015-06-18,Ended,72.0,2015,11,Medium,Drama
Galavant,English,"Comedy, Fantasy, Music",7.8,2015-01-04,Ended,78.0,2015,11,Medium,Comedy
Wake Up Call,English,Drama,7.6,2014-12-12,Ended,76.0,2014,12,Low,Drama
Expedition Unknown,English,"Adventure, Mystery, History",7.6,2015-01-08,Running,76.0,2015,11,Medium,Adventure
Eye Candy,English,"Drama, Crime, Thriller",6.6,2015-01-12,Ended,66.0,2015,11,Medium,Drama
12 Monkeys,English,"Drama, Adventure, Science-Fiction",7.7,2015-01-16,Ended,77.0,2015,11,Medium,Drama
Sons of Liberty,English,"Drama, Action, History",7.9,2015-01-25,Ended,79.0,2015,11,Medium,Drama
Street Art Throwdown,English,Unknown,7.6,2015-02-03,Ended,76.0,2015,11,Low,Unknown
Allegiance,English,"Drama, Crime, Thriller",7.0,2015-02-05,Ended,70.0,2015,11,Medium,Drama
Better Call Saul,English,"Drama, Crime, Legal",8.6,2015-02-08,Ended,86.0,2015,11,High,Drama
Outlaw Country,English,"Drama, Crime",7.6,2015-02-24,Ended,76.0,2015,11,Low,Drama
The Last Man on Earth,English,"Comedy, Science-Fiction",7.0,2015-03-01,Ended,70.0,2015,11,Medium,Comedy
Backstrom,English,"Drama, Comedy, Crime",7.8,2015-01-22,Ended,78.0,2015,11,Medium,Drama
Wrestling with Death,English,Unknown,7.6,2015-01-13,Ended,76.0,2015,11,Low,Unknown
Younger,English,"Comedy, Romance",7.3,2015-03-31,Ended,73.0,2015,11,Medium,Comedy
Hindsight,English,"Drama, Comedy, Science-Fiction",6.8,2015-01-07,Ended,68.0,2015,11,Medium,Drama
Polka Kings,English,Unknown,7.6,2015-04-11,Ended,76.0,2015,11,Low,Unknown
A.D. The Bible Continues,English,"Drama, Adventure",6.1,2015-04-05,Ended,61.0,2015,11,Medium,Drama
Dig,English,"Drama, Thriller, Mystery",7.3,2015-03-05,Ended,73.0,2015,11,Medium,Drama
Rock This Boat: New Kids on the Block,English,Unknown,7.6,2015-01-14,Ended,76.0,2015,11,Low,Unknown
Kitchen Inferno,English,Food,7.6,2014-11-05,Ended,76.0,2014,12,Low,Food
Murder Book,English,Crime,7.6,2014-12-02,Ended,76.0,2014,12,Low,Crime
My Strange Criminal Addiction,English,Crime,7.6,2014-12-01,Ended,76.0,2014,12,Low,Crime
Momsters: When Moms Go Bad,English,Unknown,7.6,2014-11-28,Ended,76.0,2014,12,Low,Unknown
Food Truck Face Off,English,Unknown,7.6,2014-09-28,Ended,76.0,2014,12,Low,Unknown
Love the Way You Lie,English,"Drama, Crime",7.6,2014-11-12,Ended,76.0,2014,12,Low,Drama
Ascension,English,"Drama, Science-Fiction",7.7,2014-12-15,Ended,77.0,2014,12,Medium,Drama
The Pioneers,English,Unknown,7.6,2014-12-09,Ended,76.0,2014,12,Low,Unknown
Girlfriends' Guide to Divorce,English,"Drama, Comedy, Romance",7.5,2014-12-02,Ended,75.0,2014,12,Medium,Drama
Sacred Journeys with Bruce Feiler,English,Unknown,7.6,2014-12-16,Ended,76.0,2014,12,Low,Unknown
Hitler the Junkie,English,"Drama, War",7.6,2014-12-14,Ended,76.0,2014,12,Low,Drama
Biblical Conspiracies,English,History,7.6,2014-12-14,Ended,76.0,2014,12,Low,History
Amish Renogades,English,"Travel, DIY",7.6,2014-11-22,Ended,76.0,2014,12,Low,Travel
The Carbonaro Effect,English,Comedy,7.6,2014-05-15,Ended,76.0,2014,12,Medium,Comedy
Barmageddon,English,Unknown,7.6,2014-10-29,Ended,76.0,2014,12,Low,Unknown
